"country","gdp","renewable_share","year","global_average","positioning","latitude","longitude"
"Somalia","4720727278","95.03",2019,"32.18","Above Average","5.152149","46.199616"
"Central African Republic","2220307369","91.26",2019,"32.18","Above Average","6.611111","20.939444"
"Uganda","34387229486","90.22",2019,"32.18","Above Average","1.373333","32.290275"
"Gabon","16657960228","89.88",2019,"32.18","Above Average","-0.803689","11.609444"
"Ethiopia","96107662398","88.92",2019,"32.18","Above Average","9.145","40.489673"
"Liberia","3070518100","87.24",2019,"32.18","Above Average","6.428055","-9.429499"
"Guinea-Bissau","1340389411","86.24",2019,"32.18","Above Average","11.803749","-15.180413"
"Burundi","3012334882","84.77",2019,"32.18","Above Average","-3.373056","29.918886"
"Zambia","23064722446","84.5",2019,"32.18","Above Average","-13.133897","27.849332"
"Madagascar","14083906357","82.77",2019,"32.18","Above Average","-18.766947","46.869107"
"Bhutan","2446674101","82.27",2019,"32.18","Above Average","27.514162","90.433601"
"Zimbabwe","21440758800","81.5",2019,"32.18","Above Average","-19.015438","29.154857"
"Nigeria","448120428859","81.4",2019,"32.18","Above Average","9.081999","8.675277"
"Iceland","24188035739","81.07",2019,"32.18","Above Average","64.963051","-19.020835"
"Niger","12928145120","80.83",2019,"32.18","Above Average","17.607789","8.081666"
"Cameroon","38760467033","79.41",2019,"32.18","Above Average","7.369722","12.354722"
"Mozambique","14934159926","78.08",2019,"32.18","Above Average","-18.665695","35.529562"
"Rwanda","10122472590","77.86",2019,"32.18","Above Average","-1.940278","29.873888"
"Chad","11314951343","77.79",2019,"32.18","Above Average","15.454166","18.732207"
"Nepal","30641380604","77.39",2019,"32.18","Above Average","28.394857","84.124008"
"Mali","17510141171","76.64",2019,"32.18","Above Average","17.570692","-3.996166"
"Haiti","8498981821","76.4",2019,"32.18","Above Average","18.971187","-72.285215"
"Togo","5459979417","76.21",2019,"32.18","Above Average","8.619543","0.824782"
"Sierra Leone","3941474311","75.44",2019,"32.18","Above Average","8.460555","-11.779889"
"Eritrea","2065001626","73.67",2019,"32.18","Above Average","15.179384","39.782334"
"Malawi","7666704427","73.02",2019,"32.18","Above Average","-13.254308","34.301525"
"Kenya","95503088538","68.08",2019,"32.18","Above Average","-0.023559","37.906193"
"Eswatini","3791304348","65.95",2019,"32.18","Above Average","-26.522503","31.465866"
"Guinea","13590281809","65.44",2019,"32.18","Above Average","9.945587","-9.696645"
"Burkina Faso","15745810235","64.85",2019,"32.18","Above Average","12.238333","-1.561593"
"Guatemala","76710385880","62.92",2019,"32.18","Above Average","15.783471","-90.230759"
"Norway","403336363636","62.37",2019,"32.18","Above Average","60.472024","8.468946"
"Sudan","18902284476","62.23",2019,"32.18","Above Average","12.862807","30.217636"
"Uruguay","56045912952","60.76",2019,"32.18","Above Average","-32.522779","-55.765835"
"Paraguay","38145288940","60.09",2019,"32.18","Above Average","-23.442503","-58.443832"
"Myanmar","76085852617","57.85",2019,"32.18","Above Average","21.916221","95.955974"
"Angola","94635415870","54.69",2019,"32.18","Above Average","-11.202692","17.873887"
"Comoros","1185728677","53.43",2019,"32.18","Above Average","-11.6455","43.3333"
"Cambodia","27089389787","53.36",2019,"32.18","Above Average","12.565679","104.990963"
"Papua New Guinea","24969611435","53.09",2019,"32.18","Above Average","-6.314993","143.95555"
"Sweden","530832908738","52.88",2019,"32.18","Above Average","60.128161","18.643501"
"Nicaragua","12520915291","50.71",2019,"32.18","Above Average","12.865416","-85.207229"
"Sri Lanka","84008783756","49.91",2019,"32.18","Above Average","7.873054","80.771797"
"Solomon Islands","1425074226","48.39",2019,"32.18","Above Average","-9.64571","160.156194"
"Brazil","1839758040766","47.57",2019,"32.18","Above Average","-14.235004","-51.92528"
"Benin","14390709095","46.47",2019,"32.18","Above Average","9.30769","2.315834"
"Honduras","25095395475","45.96",2019,"32.18","Above Average","15.199999","-86.241905"
"Finland","268761201365","45.76",2019,"32.18","Above Average","61.92411","25.748151"
"Pakistan","304400000000","43.36",2019,"32.18","Above Average","30.375321","69.345116"
"Ghana","66983634224","41.8",2019,"32.18","Above Average","7.946527","-1.023194"
"Latvia","34117202555","41.52",2019,"32.18","Above Average","56.879635","24.603189"
"Kiribati","194647202","41.03",2019,"32.18","Above Average","1.8368976","-157.3768317"
"Lesotho","2460072444","39.47",2019,"32.18","Above Average","-29.609988","28.233608"
"Montenegro","5494736901","38.74",2019,"32.18","Above Average","42.708678","19.37439"
"Tajikistan","8116626794","38.56",2019,"32.18","Above Average","38.861034","71.276093"
"Denmark","348078018464","37.52",2019,"32.18","Above Average","56.26392","9.501785"
"Senegal","23578084052","37.2",2019,"32.18","Above Average","14.497401","-14.452362"
"Bosnia and Herzegovina","20047848435","37.02",2019,"32.18","Above Average","43.915886","17.679076"
"Costa Rica","61773944174","35.76",2019,"32.18","Above Average","9.748917","-83.753428"
"Samoa","850655017","34.21",2019,"32.18","Above Average","-13.759029","-172.104629"
"Austria","446314739528","33.77",2019,"32.18","Above Average","47.516231","14.550072"
"Lithuania","54219315600","33.53",2019,"32.18","Above Average","55.169438","23.881275"
"India","2611000000000","32.93",2019,"32.18","Above Average","20.593684","78.96288"
"Vanuatu","917058851","31.86",2019,"32.18","Below Average","-15.376706","166.959158"
"Croatia","60415553039","31.6",2019,"32.18","Below Average","45.1","15.2"
"Estonia","31386949981","31.29",2019,"32.18","Below Average","58.595272","25.013607"
"Colombia","323802808108","30.72",2019,"32.18","Below Average","4.570868","-74.297333"
"Namibia","12366527719","30.69",2019,"32.18","Below Average","-22.95764","18.49041"
"New Zealand","206928765544","29.65",2019,"32.18","Below Average","-40.900557","174.885971"
"Belize","1879613600","29.09",2019,"32.18","Below Average","17.189877","-88.49765"
"Portugal","237686075635","28.19",2019,"32.18","Below Average","39.399872","-8.224454"
"Djibouti","3318716359","27.92",2019,"32.18","Below Average","11.825138","42.590275"
"Kyrgyzstan","8454619608","27.88",2019,"32.18","Below Average","41.20438","74.766098"
"Peru","226848050820","27.12",2019,"32.18","Below Average","-9.189967","-75.015152"
"Philippines","376795508680","26.73",2019,"32.18","Below Average","12.879721","121.774017"
"South Sudan","11997800751","26.65",2019,"32.18","Below Average","6.8769919","31.3069788"
"Fiji","5535548972","26.48",2019,"32.18","Below Average","-17.713371","178.065032"
"Botswana","18340510789","25.57",2019,"32.18","Below Average","-22.328474","24.684866"
"Chile","282318159745","25.26",2019,"32.18","Below Average","-35.675147","-71.542969"
"Georgia","17743195770","25.22",2019,"32.18","Below Average","42.315407","43.356892"
"Switzerland","703082435360","24.76",2019,"32.18","Below Average","46.818188","8.227512"
"Bangladesh","302571254131","24.75",2019,"32.18","Below Average","23.684994","90.356331"
"Mauritania","7593752450","24.7",2019,"32.18","Below Average","21.00789","-10.940835"
"Thailand","543649976166","23.96",2019,"32.18","Below Average","15.870032","100.992541"
"Romania","250077444017","23.54",2019,"32.18","Below Average","45.943161","24.96676"
"Canada","1736425629520","22.11",2019,"32.18","Below Average","56.130366","-106.346771"
"Cuba","100023000000","21.54",2019,"32.18","Below Average","21.521757","-77.781167"
"Serbia","51409167351","21.53",2019,"32.18","Below Average","44.016521","21.005859"
"Slovenia","53742159517","20.86",2019,"32.18","Below Average","46.151241","14.995463"
"El Salvador","27022640000","19.39",2019,"32.18","Below Average","13.794185","-88.89653"
"Bulgaria","86000000000","19.34",2019,"32.18","Below Average","42.733883","25.48583"
"Indonesia","1119190780753","19.09",2019,"32.18","Below Average","-0.789275","113.921327"
"Panama","66800800000","18.91",2019,"32.18","Below Average","8.537981","-80.782127"
"Afghanistan","19101353833","18.51",2019,"32.18","Below Average","33.93911","67.709953"
"Greece","209852761469","18.51",2019,"32.18","Below Average","39.074208","21.824312"
"Ecuador","107435665000","17.73",2019,"32.18","Below Average","-1.831239","-78.183406"
"Slovakia","105422304976","17.64",2019,"32.18","Below Average","48.669026","19.699024"
