"country","gdp","renewable_share","year","latitude","longitude"
"Sweden","530832908738","52.88",2019,"60.128161","18.643501"
"Brazil","1839758040766","47.57",2019,"-14.235004","-51.92528"
"India","2611000000000","32.93",2019,"20.593684","78.96288"
"Switzerland","703082435360","24.76",2019,"46.818188","8.227512"
"Thailand","543649976166","23.96",2019,"15.870032","100.992541"
"Canada","1736425629520","22.11",2019,"56.130366","-106.346771"
"Indonesia","1119190780753","19.09",2019,"-0.789275","113.921327"
"Italy","2001244392042","17.27",2019,"41.87194","12.56738"
"Spain","1394116310769","17.27",2019,"40.463667","-3.74922"
"Germany","3845630030824","17.17",2019,"51.165691","10.451526"
