"country","year","renewable_share"
"Brazil",2000,"42.66"
"Brazil",2001,"41.33"
"Brazil",2002,"42.85"
"Brazil",2003,"45.11"
"Brazil",2004,"45.18"
"Brazil",2005,"46.13"
"Brazil",2006,"46.67"
"Brazil",2007,"47.19"
"Brazil",2008,"47.04"
"Brazil",2009,"48.92"
"Brazil",2010,"46.81"
"Brazil",2011,"45.26"
"Brazil",2012,"43.49"
"Brazil",2013,"42.32"
"Brazil",2014,"41.71"
"Brazil",2015,"43.62"
"Brazil",2016,"45.46"
"Brazil",2017,"45.33"
"Brazil",2018,"46.95"
"Brazil",2019,"47.57"
"China",2000,"29.63"
"China",2001,"28.36"
"China",2002,"27"
"China",2003,"23.86"
"China",2004,"20.17"
"China",2005,"17.44"
"China",2006,"16.39"
"China",2007,"14.88"
"China",2008,"14.14"
"China",2009,"13.43"
"China",2010,"12.26"
"China",2011,"11.34"
"China",2012,"11.53"
"China",2013,"11.45"
"China",2014,"11.94"
"China",2015,"12.18"
"China",2016,"12.56"
"China",2017,"13.13"
"China",2018,"13.71"
"China",2019,"14.45"
"Germany",2000,"3.7"
"Germany",2001,"3.9"
"Germany",2002,"4.41"
"Germany",2003,"5.44"
"Germany",2004,"6.34"
"Germany",2005,"7.28"
"Germany",2006,"8.59"
"Germany",2007,"10.47"
"Germany",2008,"10.25"
"Germany",2009,"10.72"
"Germany",2010,"11.61"
"Germany",2011,"12.54"
"Germany",2012,"13.64"
"Germany",2013,"13.63"
"Germany",2014,"14.02"
"Germany",2015,"14.55"
"Germany",2016,"14.24"
"Germany",2017,"15.22"
"Germany",2018,"16.12"
"Germany",2019,"17.17"
"Italy",2000,"5.12"
"Italy",2001,"5.38"
"Italy",2002,"5.6"
"Italy",2003,"6.24"
"Italy",2004,"5.94"
"Italy",2005,"6.7"
"Italy",2006,"7.51"
"Italy",2007,"8.73"
"Italy",2008,"10.82"
"Italy",2009,"12.54"
"Italy",2010,"12.79"
"Italy",2011,"11.9"
"Italy",2012,"14.39"
"Italy",2013,"16.32"
"Italy",2014,"17.13"
"Italy",2015,"16.57"
"Italy",2016,"16.09"
"Italy",2017,"16.43"
"Italy",2018,"17.08"
"Italy",2019,"17.27"
"United States",2000,"5.43"
"United States",2001,"4.68"
"United States",2002,"4.84"
"United States",2003,"5.33"
"United States",2004,"5.48"
"United States",2005,"5.84"
"United States",2006,"6.4"
"United States",2007,"6.3"
"United States",2008,"6.85"
"United States",2009,"7.35"
"United States",2010,"7.44"
"United States",2011,"8.36"
"United States",2012,"8.73"
"United States",2013,"9.08"
"United States",2014,"9.22"
"United States",2015,"9.03"
"United States",2016,"9.46"
"United States",2017,"9.92"
"United States",2018,"10.12"
"United States",2019,"10.42"
