"paese","pil","quota_rinnovabili","anno","latitude","longitude"
"Somalia","4720727278","95.03",2019,"5.152149","46.199616"
"Central African Republic","2220307369","91.26",2019,"6.611111","20.939444"
"Uganda","34387229486","90.22",2019,"1.373333","32.290275"
"Gabon","16657960228","89.88",2019,"-0.803689","11.609444"
"Ethiopia","96107662398","88.92",2019,"9.145","40.489673"
"Liberia","3070518100","87.24",2019,"6.428055","-9.429499"
"Guinea-Bissau","1340389411","86.24",2019,"11.803749","-15.180413"
"Burundi","3012334882","84.77",2019,"-3.373056","29.918886"
"Zambia","23064722446","84.5",2019,"-13.133897","27.849332"
"Madagascar","14083906357","82.77",2019,"-18.766947","46.869107"
