"continente","paese","incremento_percentuale","rank_sprinter"
"Africa","Gabon","17.10","1"
"Africa","Zimbabwe","12.24","2"
"Africa","Eswatini","6.56","3"
"Americhe","Uruguay","22.03","1"
"Americhe","Aruba","7.30","2"
"Americhe","United States","4.99","3"
"Asia","Japan","3.99","1"
"Asia","Armenia","3.18","2"
"Asia","Thailand","2.14","3"
"Europa","Denmark","26.79","1"
"Europa","Iceland","20.41","2"
"Europa","Bosnia and Herzegovina","17.67","3"
"Oceania","Tuvalu","8.20","1"
"Oceania","Australia","1.71","2"
"Oceania","Nauru","0.61","3"
